circRNA_ID,Chromosome,Start,Stop,Supporting reads,Strand,Unique Supporting reads,Best quality of anchor A,Best quality of anchor B,Samples,Sample counts,Edits,Anchor overlap,Breakpoints,Length (genomic distance),Associated annotation             (if applicable),Correlation with linear counterpart,Annotation description
bowtie_circ_001085,Pf3D7_12_v3,2172100,2172212,4,+,4,40,40,"LRET,T12+16,T36,TT4","1,1,1,1",0,0,1,112,PF3D7_1253100,,"Plasmodium exported protein (PHISTa), unknown function"
bowtie_circ_001111,Pf3D7_11_v3,1399571,1400103,4,-,4,40,40,"ER,S3,T40","1,2,1",0,0,1,532,PF3D7_1135900,,"3-oxo-5-alpha-steroid 4-dehydrogenase, putative"
bowtie_circ_001152,Pf3D7_10_v3,889460,889694,4,-,4,40,40,"T28,T32,T44","1,1,2",2,0,1,234,PF3D7_1021700,,"conserved Plasmodium membrane protein, unknown function"
bowtie_circ_001236,Pf3D7_10_v3,107722,107830,4,+,4,40,40,"ER,T12+16,T48","2,1,1",0,0,1,108,PF3D7_1002100,,PF70 protein (PF70)
bowtie_circ_001263,Pf3D7_14_v3,2092891,2093104,4,+,4,40,40,"LRET,T12+16,T20","1,2,1",0,0,1,213,PF3D7_1451100,,elongation factor 2
bowtie_circ_001289,Pf3D7_06_v3,1172351,1173721,5,-,4,40,40,"T12+16,TT4","1,4",0,0,1,1370,PF3D7_0628300,,"choline/ethanolaminephosphotransferase, putative (CEPT)"
bowtie_circ_001415,Pf3D7_08_v3,860990,861107,5,+,4,40,40,"LRET,MTLT,T20","2,2,1",0,0,1,117,PF3D7_0818900,,heat shock protein 70 (HSP70)
bowtie_circ_001421,Pf3D7_06_v3,1172941,1173721,4,-,4,5,40,"T36,T48,TT4","1,1,2",0,0,1,780,PF3D7_0628300,,"choline/ethanolaminephosphotransferase, putative (CEPT)"
bowtie_circ_001440,Pf3D7_06_v3,282251,282464,4,+,4,40,40,"S3,T20,T36,T48","1,1,1,1",2,0,1,213,PF3D7_0606700,,"coatomer alpha subunit, putative"
bowtie_circ_001504,Pf3D7_14_v3,2330222,2330416,4,-,4,40,40,"LRET,MTLT,T28","2,1,1",0,0,1,194,PF3D7_1456800,,"V-type H( )-translocating pyrophosphatase, putative (VP1)"
bowtie_circ_001505,Pf3D7_10_v3,582331,582431,4,-,4,40,40,"LRET,T24,T40,T44","1,1,1,1",1,0,1,100,PF3D7_1014600,,transcriptional coactivator ADA2 (ADA2)
bowtie_circ_001538,Pf3D7_04_v3,1128476,1128586,4,+,4,40,40,"T12+16,T24","3,1",0,0,1,110,PF3D7_0424900,,"Plasmodium exported protein (PHISTa), unknown function"
bowtie_circ_001543,Pf3D7_08_v3,1256679,1257016,4,+,4,40,40,"ER,T28,T32","1,1,2",0,0,1,337,PF3D7_0829300,,"U6 snRNA-associated Sm-like protein LSm8, putative (LSM8)"
bowtie_circ_001554,Pf3D7_06_v3,1097889,1098000,4,-,4,40,40,"T12+16,T40,T44,TT4","1,1,1,1",2,0,1,111,PF3D7_0627300,,"E3 ubiquitin-protein ligase RNF5, putative (RNF5)"
bowtie_circ_001573,Pf3D7_14_v3,2758149,2758285,4,-,4,40,40,"T20,T24,T44","2,1,1",0,0,1,136,PF3D7_1467600,,"conserved Plasmodium protein, unknown function"
bowtie_circ_001574,Pf3D7_05_v3,424100,424206,4,-,4,40,40,"T36,T40","1,3",2,0,1,106,PF3D7_0510100,,"conserved Plasmodium protein, unknown function"
bowtie_circ_001599,Pf3D7_03_v3,681245,681377,4,-,4,40,40,"T20,T40,T44","1,2,1",1,0,1,132,PF3D7_0316900,,"RING zinc finger protein, putative"
bowtie_circ_001652,Pf3D7_13_v3,972103,972814,5,-,4,40,40,"LRET,T12+16,T20","1,1,3",0,0,1,711,PF3D7_1323400,,"60S ribosomal protein L23a, putative"
bowtie_circ_001684,Pf3D7_11_v3,251655,252481,4,+,4,40,40,"S3,T24,TT4","1,2,1",0,0,1,826,PF3D7_1105800,,"conserved Plasmodium protein, unknown function"
bowtie_circ_001697,Pf3D7_07_v3,144860,145319,5,+,4,40,40,"S3,T20,T36,T4+8","1,1,1,2",0,0,1,459,PF3D7_0703600,,"conserved Plasmodium protein, unknown function"
bowtie_circ_001760,Pf3D7_14_v3,1534150,1534291,4,+,4,40,40,"MTLT,T28,T32,T48","1,1,1,1",1,0,1,141,PF3D7_1437900,,"HSP40, subfamily A, putative"
bowtie_circ_001794,Pf3D7_07_v3,917094,917327,4,+,4,40,40,"MTLT,T24,T32,T44","1,1,1,1",0,0,1,233,PF3D7_0721100,,"conserved Plasmodium protein, unknown function"
bowtie_circ_001805,Pf3D7_12_v3,838801,838978,4,-,4,40,40,"LRET,T32,T36,T40","1,1,1,1",1,0,1,177,PF3D7_1221000,,"histone-lysine N-methyltransferase, H3 lysine-4 specific (SET10)"
bowtie_circ_001816,Pf3D7_10_v3,811678,812572,4,-,4,40,40,"T12+16,T48","1,3",0,0,1,894,PF3D7_1020000,,"large subunit rRNA processing RRM protein, putative"
bowtie_circ_001828,Pf3D7_02_v3,355488,355631,4,+,4,34,40,"LRET,T28,T32,T36","1,1,1,1",2,0,1,143,PF3D7_0208600,,"ribosome-recycling factor, putative (RRF)"
bowtie_circ_001936,Pf3D7_12_v3,1984109,1984219,4,-,4,40,40,"LRET,T4+8,TT4","2,1,1",1,0,1,110,PF3D7_1248500,,"bax inhibitor 1, putative"
bowtie_circ_001963,Pf3D7_08_v3,657220,657454,4,+,4,40,5,"LRET,T28","1,3",0,0,1,234,PF3D7_0813300,,"conserved Plasmodium protein, unknown function"
bowtie_circ_002035,Pf3D7_06_v3,102850,102952,4,-,4,40,5,"MTLT,T20,T28","1,2,1",0,0,1,102,PF3D7_0602400,,elongation factor G (EF-G)
bowtie_circ_002052,Pf3D7_13_v3,2120021,2120129,4,-,4,5,40,"T28,T40,T44","1,2,1",0,0,1,108,PF3D7_1353000,,"tryptophan-rich antigen, pseudogene"
bowtie_circ_002079,Pf3D7_09_v3,747354,748188,4,+,4,40,40,"T12+16,T48","1,3",0,0,1,834,PF3D7_0918100,,"cytochrome b5-like heme/steroid binding protein, putative"
bowtie_circ_002111,Pf3D7_12_v3,595955,596072,4,-,4,40,40,"T28,T32,T44,TT4","1,1,1,1",2,0,1,117,PF3D7_1213900,,"conserved Plasmodium protein, unknown function"
bowtie_circ_002138,Pf3D7_10_v3,121059,122993,4,+,4,40,40,"S3,T12+16,T44,T48","1,1,1,1",0,0,1,1934,PF3D7_1002400,,"RNA binding protein, putative"
bowtie_circ_002204,Pf3D7_13_v3,1867757,1867934,5,+,4,40,40,"S3,T12+16,T44","2,2,1",2,0,1,177,PF3D7_1346400,,"conserved Plasmodium protein, unknown function"
bowtie_circ_002297,Pf3D7_07_v3,947111,947231,4,-,4,40,40,"S3,T40,T44","1,1,2",2,0,1,120,PF3D7_0722200,,rhoptry-associated leucine zipper-like protein 1 (RALP1)
bowtie_circ_002425,Pf3D7_03_v3,262273,262380,4,-,4,35,40,"T36,T4+8,T48","1,1,2",0,0,1,107,PF3D7_0305500,,"conserved Plasmodium protein, unknown function"
bowtie_circ_002464,Pf3D7_09_v3,1202906,1203024,4,-,4,40,40,"S3,T44","2,2",0,0,1,118,PF3D7_0930300,,merozoite surface protein 1 (MSP1)
bowtie_circ_002467,Pf3D7_11_v3,629062,629162,4,-,4,40,40,"LRET,MTLT,T32","1,2,1",0,0,1,100,PF3D7_1116600,,"oligosaccharyl transferase STT3 subunit, putative"
bowtie_circ_002529,Pf3D7_05_v3,1105539,1105696,4,+,4,40,40,"T20,T36","1,3",0,0,1,157,PF3D7_0526600,,"conserved Plasmodium protein, unknown function"
bowtie_circ_002545,Pf3D7_12_v3,1340848,1341046,4,-,4,40,5,"S3,T40","1,3",0,0,1,198,PF3D7_1232500,,"CG2-related protein, putative"
bowtie_circ_002674,Pf3D7_10_v3,241362,241485,4,-,4,5,40,"ER,T24,T28,T36","1,1,1,1",0,0,1,123,PF3D7_1005500,,"regulator of nonsense transcripts, putative"
bowtie_circ_002711,Pf3D7_11_v3,1433155,1435191,4,-,4,40,40,"T12+16,T44,T48","1,1,2",0,0,1,2036,PF3D7_1136500,,casein kinase 1 (CK1)
bowtie_circ_002747,Pf3D7_14_v3,1482063,1482261,5,+,4,40,40,"T12+16,T32,T44,T48","2,1,1,1",0,0,1,198,PF3D7_1436300,,translocon component PTEX150 (PTEX150)
bowtie_circ_002814,Pf3D7_02_v3,87093,87196,4,-,4,40,40,"T20,T28","3,1",0,0,1,103,PF3D7_0201800,,knob associated heat shock protein 40 (KAHsp40)
bowtie_circ_002829,Pf3D7_07_v3,137852,138005,4,-,4,40,40,"T20,T28,T32","2,1,1",1,0,1,153,PF3D7_0703500,,erythrocyte membrane-associated antigen
bowtie_circ_002860,Pf3D7_04_v3,765884,766017,4,+,4,40,40,"T20,T36,T44","1,2,1",2,0,1,133,PF3D7_0417400,,"conserved Plasmodium protein, unknown function"
bowtie_circ_002896,Pf3D7_10_v3,190523,190661,5,-,4,40,40,"LRET,T36,T44,TT4","1,1,1,2",0,0,1,138,PF3D7_1004200,,"conserved Plasmodium membrane protein, unknown function"
bowtie_circ_002916,Pf3D7_03_v3,290323,290432,4,-,4,5,40,"T24,T40,T44","1,2,1",1,0,1,109,PF3D7_0306100,,"conserved Plasmodium protein, unknown function"
bowtie_circ_002962,Pf3D7_14_v3,962048,962245,4,-,4,37,40,"ER,T12+16,T20,T24","1,1,1,1",0,0,1,197,PF3D7_1423700,,"conserved Plasmodium protein, unknown function"
bowtie_circ_003060,Pf3D7_13_v3,428037,428284,4,-,4,40,40,"ER,LRET,T20,T44","1,1,1,1",2,0,1,247,PF3D7_1309300,,"U4/U6 small nuclear ribonucleoprotein PRP3, putative (PRPF3)"
bowtie_circ_003092,Pf3D7_10_v3,1424310,1424457,7,-,4,40,40,"T4+8,T44","5,2",1,0,1,147,PF3D7_1035900,,"probable protein, unknown function (M566)"
bowtie_circ_003133,Pf3D7_14_v3,1925308,1925464,4,+,4,40,40,"LRET,T28,T32,T36","1,1,1,1",1,0,1,156,PF3D7_1446900,,"glutaminyl-peptide cyclotransferase, putative"
bowtie_circ_003150,Pf3D7_09_v3,967259,967784,4,-,4,40,40,"ER,T20,T24","1,2,1",0,0,1,525,PF3D7_0923900,,"RNA binding protein, putative"
bowtie_circ_003189,Pf3D7_14_v3,1480980,1481139,6,+,4,40,40,"T12+16,T4+8,T48,TT4","2,2,1,1",2,0,1,159,PF3D7_1436300,,translocon component PTEX150 (PTEX150)
bowtie_circ_003195,Pf3D7_12_v3,1975532,1975642,5,+,4,40,40,"MTLT,S3,T28,TT4","1,1,1,2",2,0,1,110,PF3D7_1248100,,"methyltransferase, putative"
bowtie_circ_003198,Pf3D7_06_v3,104276,104454,4,-,4,40,40,"T28,T36","1,3",0,0,1,178,PF3D7_0602400,,elongation factor G (EF-G)
bowtie_circ_003217,PFC10_API_IRAB,19814,19958,4,-,4,40,40,"S3,T40,T44","1,1,2",0,0,1,144,PFC10_API0028,,elongation factor (tufA)
bowtie_circ_003302,Pf3D7_09_v3,1218532,1218632,4,-,4,40,40,"T12+16,T20,T32","1,1,2",0,0,1,100,PF3D7_0930600,,peptidyl-prolyl cis-trans isomerase (CYP72)
bowtie_circ_003321,Pf3D7_11_v3,197420,197643,4,-,4,40,40,"MTLT,T12+16,T28,T32","1,1,1,1",1,0,1,223,PF3D7_1104400,,"conserved protein, unknown function"
bowtie_circ_003348,Pf3D7_14_v3,266319,266478,4,-,4,40,40,"T20,T24,T28,T48","1,1,1,1",2,0,1,159,PF3D7_1407300,,"pre-mRNA splicing factor, putative"
bowtie_circ_003368,Pf3D7_09_v3,1287430,1287532,4,+,4,40,40,"ER,T36,T44,T48","1,1,1,1",2,0,1,102,PF3D7_0932200,,"profilin, putative (PFN)"
bowtie_circ_003397,Pf3D7_12_v3,194628,195246,4,+,4,40,40,"ER,T12+16","1,3",0,0,1,618,PF3D7_1203900,,ubiquitin conjugating enzyme E2 (UBC)
bowtie_circ_003399,Pf3D7_09_v3,172099,172720,4,+,4,40,40,"MTLT,T20,TT4","1,1,2",0,0,1,621,PF3D7_0903600,,"conserved Plasmodium protein, unknown function"
bowtie_circ_003401,Pf3D7_11_v3,815567,815887,4,-,4,40,40,"T20,TT4","2,2",0,0,1,320,PF3D7_1121600,,"circumsporozoite-related antigen,exported protein 1 (EXP1)"
bowtie_circ_003435,Pf3D7_10_v3,1194778,1195001,4,+,4,40,5,"LRET,T28,T32","2,1,1",0,0,1,223,PF3D7_1029100,,"conserved Plasmodium protein, unknown function"
bowtie_circ_003453,Pf3D7_04_v3,701686,702568,4,-,4,40,40,"MTLT,S3,T40,T44","1,1,1,1",0,0,1,882,PF3D7_0416000,,"RNA binding protein, putative"
bowtie_circ_003459,Pf3D7_14_v3,1944782,1945010,4,-,4,40,40,"T28,T32,T36","1,1,2",0,0,1,228,PF3D7_1447700,,"conserved Plasmodium protein, unknown function"
bowtie_circ_003487,Pf3D7_13_v3,1228838,1229015,4,-,4,5,40,"T20,T24,T48","2,1,1",1,0,1,177,PF3D7_1329100,,myosin C (MyoC)
bowtie_circ_003612,Pf3D7_04_v3,333330,333441,5,+,4,40,35,"T4+8,T40,T44","2,1,2",0,0,1,111,PF3D7_0406400,,cytosolic glyoxalase II (cGloII)
bowtie_circ_003714,Pf3D7_14_v3,936788,937148,6,+,4,40,40,"T12+16,T48,TT4","1,2,3",0,0,1,360,PF3D7_1423300,,serine/threonine protein phosphatase (PP7)
bowtie_circ_003720,Pf3D7_02_v3,729148,729562,4,-,4,40,40,"ER,T20,T32","2,1,1",0,0,1,414,PF3D7_0217600,,"conserved Plasmodium protein, unknown function"
bowtie_circ_003725,Pf3D7_12_v3,77550,77682,5,-,4,40,40,"LRET,MTLT,T28","1,1,3",2,0,1,132,PF3D7_1201000,,"Plasmodium exported protein (PHISTb), unknown function"
bowtie_circ_003776,Pf3D7_11_v3,182839,183261,5,-,4,40,40,"LRET,T20,TT4","2,2,1",0,0,1,422,PF3D7_1104200,,chromatin remodeling protein (SNF2L)
bowtie_circ_003891,Pf3D7_02_v3,716159,716559,4,-,4,40,40,"ER,T12+16,T36,T40","1,1,1,1",0,0,1,400,PF3D7_0217300,,"clathrin coat assembly protein, putative"
bowtie_circ_003953,Pf3D7_14_v3,2825387,2825526,4,+,4,40,40,"T20,T28,T32","2,1,1",0,0,1,139,PF3D7_1468700,,eukaryotic initiation factor 4A (eIF4A)
bowtie_circ_003991,Pf3D7_14_v3,1397939,1398116,4,-,4,40,40,"ER,T12+16,T28","2,1,1",1,0,1,177,PF3D7_1434500,,"dynein-related AAA-type ATPase, putative"
bowtie_circ_004125,Pf3D7_08_v3,231692,231827,4,+,4,40,40,"T28,T32,T44,T48","1,1,1,1",0,0,1,135,PF3D7_0803700,,tubulin gamma chain (g-tub)
bowtie_circ_004147,Pf3D7_12_v3,1046981,1047110,4,+,4,6,40,"MTLT,T24,T44","1,1,2",0,0,1,129,PF3D7_1225800,,ubiquitin-activating enzyme E1 (UBA1)
bowtie_circ_004154,Pf3D7_06_v3,296528,296770,4,-,4,40,40,"T28,T40,T44","2,1,1",2,0,1,242,PF3D7_0607000,,"translation initiation factor IF-2, putative"
bowtie_circ_004207,Pf3D7_08_v3,1354099,1354276,4,-,4,40,40,"ER,T24","3,1",2,0,1,177,PF3D7_0831500,,"Plasmodium exported protein (PHIST), unknown function"
bowtie_circ_004244,Pf3D7_14_v3,1875539,1875710,4,-,4,40,40,"ER,LRET,T24,T28","1,1,1,1",2,0,1,171,PF3D7_1445700,,"conserved Plasmodium protein, unknown function"
bowtie_circ_004269,Pf3D7_14_v3,223047,223221,4,+,4,40,40,"T24,T36,T44","2,1,1",1,0,1,174,PF3D7_1406200,,"conserved Plasmodium protein, unknown function"
bowtie_circ_004325,Pf3D7_14_v3,2331353,2331464,4,-,4,40,40,"ER,LRET,MTLT","1,1,2",0,0,1,111,PF3D7_1456800,,"V-type H( )-translocating pyrophosphatase, putative (VP1)"
bowtie_circ_004343,Pf3D7_10_v3,705888,706005,4,+,4,40,40,"T24,T32,T36,T40","1,1,1,1",1,0,1,117,PF3D7_1017600,,"conserved Plasmodium protein, unknown function"
bowtie_circ_004388,Pf3D7_14_v3,2774803,2774917,4,+,4,40,40,"T32,T40","1,3",2,0,1,114,PF3D7_1467900,,"rab GTPase activator, putative"
bowtie_circ_004427,Pf3D7_14_v3,936788,937385,4,+,4,40,40,"T20,T40,TT4","1,1,2",0,0,1,597,PF3D7_1423300,,serine/threonine protein phosphatase (PP7)
bowtie_circ_004573,Pf3D7_04_v3,1127768,1127916,4,+,4,0,40,"T12+16,T20,TT4","1,1,2",0,0,1,148,PF3D7_0424900,,"Plasmodium exported protein (PHISTa), unknown function"
bowtie_circ_004593,Pf3D7_10_v3,758000,758215,4,+,4,40,40,"ER,T20,T32,T36","1,1,1,1",2,0,1,215,PF3D7_1019000,,"eukaryotic translation initiation factor subunit eIF2A, putative"
bowtie_circ_004596,Pf3D7_12_v3,899689,900377,4,-,4,40,40,"ER,T12+16,T32,TT4","1,1,1,1",0,0,1,688,PF3D7_1222500,,"ATP-binding protein, putative"
bowtie_circ_004621,Pf3D7_04_v3,124430,124537,4,-,4,40,40,"T28,T44","2,2",0,0,1,107,PF3D7_0402100,,"Plasmodium exported protein (PHISTb), unknown function"
bowtie_circ_004669,Pf3D7_13_v3,419986,420092,4,+,4,40,40,"T28,T32","2,2",0,0,1,106,PF3D7_1309100,,"60S ribosomal protein L24, putative"
bowtie_circ_004722,Pf3D7_03_v3,412714,413317,4,+,4,40,40,"T12+16,T24","3,1",0,0,1,603,PF3D7_0309800,,"YTH domain-containing protein, putative"
bowtie_circ_004896,Pf3D7_13_v3,1549169,1550384,4,+,4,40,40,"LRET,S3,T12+16,T36","1,1,1,1",0,0,1,1215,PF3D7_1338300,,"elongation factor 1-gamma, putative"
bowtie_circ_004969,Pf3D7_05_v3,1309680,1309863,4,-,4,40,40,"LRET,T20,T24","2,1,1",2,0,1,183,PF3D7_0532300,,"Plasmodium exported protein (PHISTb), unknown function"
bowtie_circ_005040,Pf3D7_01_v3,195110,195302,5,+,4,40,40,"T12+16,T4+8","1,4",1,0,1,192,PF3D7_0104300,,"ubiquitin carboxyl-terminal hydrolase 1, putative (UBP1)"
bowtie_circ_005045,Pf3D7_12_v3,62894,63018,4,-,4,40,40,"T20,T44,TT4","1,1,2",0,0,1,124,PF3D7_1200700,,acyl-CoA synthetase (ACS7)
bowtie_circ_005071,Pf3D7_13_v3,1898204,1898320,5,-,4,40,40,"ER,T24,T36,T40","1,1,2,1",0,0,1,116,PF3D7_1347500,,DNA/RNA-binding protein Alba 4 (ALBA4)
bowtie_circ_005127,Pf3D7_08_v3,687763,687880,4,+,4,40,40,"T36,TT4","2,2",0,0,1,117,PF3D7_0814200,,DNA/RNA-binding protein Alba 1 (ALBA1)
bowtie_circ_005145,Pf3D7_11_v3,521147,521276,4,-,4,40,40,"ER,LRET,MTLT,T36","1,1,1,1",1,0,1,129,PF3D7_1113400,,ubiquitin domain containing protein
bowtie_circ_005148,Pf3D7_02_v3,306186,306309,4,-,4,40,5,"S3,T40","2,2",0,0,1,123,PF3D7_0207600,,serine repeat antigen 5 (SERA5)
bowtie_circ_005159,Pf3D7_10_v3,87364,87511,5,-,4,40,40,"MTLT,T28,T36","1,1,3",0,0,1,147,PF3D7_1001600,,"alpha/beta hydrolase, putative"
bowtie_circ_005312,Pf3D7_02_v3,207092,207355,5,-,4,40,40,"MTLT,S3,T48","1,2,2",0,0,1,263,PF3D7_0204700,,hexose transporter (HT)
bowtie_circ_005364,Pf3D7_06_v3,217591,217726,4,+,4,40,40,"S3,T28,T44","2,1,1",0,0,1,135,PF3D7_0605100,,"RNA binding protein, putative"
bowtie_circ_005386,Pf3D7_11_v3,1735795,1736458,4,+,4,40,40,"LRET,MTLT,T20,T48","1,1,1,1",0,0,1,663,PF3D7_1143400,,"translation initiation factor eIF-1A, putative"
bowtie_circ_005417,Pf3D7_05_v3,725260,725375,4,-,4,40,40,"ER,T24,T28,T36","1,1,1,1",1,0,1,115,PF3D7_0517300,,pre-mRNA-splicing factor (SR1)
bowtie_circ_005462,Pf3D7_12_v3,974608,974740,4,+,4,40,40,"T28,T32,T4+8","1,1,2",1,0,1,132,PF3D7_1224000,,GTP cyclohydrolase I (GCH1)
bowtie_circ_005541,Pf3D7_12_v3,989483,989585,4,+,4,40,40,"T24,T36,T44","1,2,1",0,0,1,102,PF3D7_1224300,,"polyadenylate-binding protein, putative (PABP)"
bowtie_circ_005569,Pf3D7_14_v3,554737,555638,4,-,4,40,40,"S3,T36,T40,T44","1,1,1,1",0,0,1,901,PF3D7_1414000,,"26S proteasome regulatory subunit RPN13, putative (RPN13)"
bowtie_circ_005640,Pf3D7_10_v3,699187,699480,4,-,4,40,40,"ER,T20,T48","1,2,1",0,0,1,293,PF3D7_1017400,,"phosphomannomutase, putative"
bowtie_circ_005670,Pf3D7_10_v3,1027742,1027859,5,-,4,40,40,"S3,T28,T36","1,2,2",1,0,1,117,PF3D7_1024600,,"RAP protein, putative"
bowtie_circ_005671,Pf3D7_08_v3,687808,687985,4,+,4,40,40,"ER,T32","2,2",0,0,1,177,PF3D7_0814200,,DNA/RNA-binding protein Alba 1 (ALBA1)
bowtie_circ_005687,Pf3D7_13_v3,2120087,2120207,4,-,4,3,40,"S3,T28,T32,T36","1,1,1,1",0,0,1,120,PF3D7_1353000,,"tryptophan-rich antigen, pseudogene"
bowtie_circ_000009,Pf3D7_14_v3,985583,986191,3,-,3,40,5,"S3,T24,T44","1,1,1",0,0,1,608,PF3D7_1425300,,"conserved Plasmodium protein, unknown function"
bowtie_circ_000012,Pf3D7_12_v3,1340884,1341046,3,-,3,5,40,"T4+8,T48","2,1",0,0,1,162,PF3D7_1232500,,"CG2-related protein, putative"
bowtie_circ_000065,Pf3D7_12_v3,1162755,1162869,5,-,3,40,40,"T36,T40","1,4",0,0,1,114,PF3D7_1228600,,merozoite surface protein 9 (MSP9)
bowtie_circ_000096,Pf3D7_07_v3,228302,228449,3,-,3,5,36,"ER,T32,T40","1,1,1",2,0,1,147,PF3D7_0704600,,"ubiquitin transferase, putative"
bowtie_circ_000120,PFC10_API_IRAB,21107,21323,3,-,3,40,40,"S3,T44","1,2",0,0,1,216,PFC10_API0029,,apicoplast ribosomal protein S7 (rps7)
bowtie_circ_000129,Pf3D7_07_v3,1350434,1350643,3,+,3,40,40,"LRET,T20,T44","1,1,1",1,0,1,209,PFC10_API0030,,apicoplast ribosomal protein S12 (rps12)
bowtie_circ_000205,Pf3D7_03_v3,403687,405455,3,+,3,40,40,ER,3,0,0,1,1768,PF3D7_0309500,,"asparagine synthetase, putative"
bowtie_circ_000225,Pf3D7_07_v3,218176,218299,3,-,3,40,40,"ER,T32,T48","1,1,1",2,0,1,123,PF3D7_0704600,,"ubiquitin transferase, putative"
bowtie_circ_000241,Pf3D7_03_v3,257416,257531,3,-,3,5,40,"T12+16,T20,TT4","1,1,1",0,0,1,115,PF3D7_0305300,,"conserved Plasmodium membrane protein, unknown function"
bowtie_circ_000243,Pf3D7_13_v3,386462,386575,3,-,3,40,40,"T36,T48","2,1",1,0,1,113,PF3D7_1308400,,"conserved Plasmodium protein, unknown function"
bowtie_circ_000344,Pf3D7_13_v3,378216,378402,3,-,3,40,40,"T36,T40,T48","1,1,1",1,0,1,186,PF3D7_1308400,,"conserved Plasmodium protein, unknown function"
bowtie_circ_000389,Pf3D7_08_v3,687763,687901,3,+,3,40,40,"LRET,T32,T36","1,1,1",0,0,1,138,PF3D7_0814200,,DNA/RNA-binding protein Alba 1 (ALBA1)
bowtie_circ_000398,Pf3D7_08_v3,687799,687985,3,+,3,40,40,"LRET,T28","1,2",0,0,1,186,PF3D7_0814200,,DNA/RNA-binding protein Alba 1 (ALBA1)
bowtie_circ_000410,Pf3D7_08_v3,830385,831202,3,+,3,40,40,"LRET,T44,T48","1,1,1",0,0,1,817,PF3D7_0818200,,14-3-3 protein (14-3-3I)
bowtie_circ_000465,Pf3D7_13_v3,2120087,2120201,3,-,3,6,40,"T32,T36,T44","1,1,1",0,0,1,114,PF3D7_1353000,,"tryptophan-rich antigen, pseudogene"
bowtie_circ_000472,Pf3D7_11_v3,250835,252481,3,+,3,40,5,"MTLT,T36,T44","1,1,1",0,0,1,1646,PF3D7_1105800,,"conserved Plasmodium protein, unknown function"
bowtie_circ_000477,Pf3D7_12_v3,1291297,1291404,3,+,3,5,40,"ER,T12+16,T44","1,1,1",2,0,1,107,PF3D7_1231400,,"amino acid transporter, putative"
bowtie_circ_000500,Pf3D7_11_v3,1016616,1016817,3,-,3,40,40,"LRET,T40","1,2",0,0,1,201,PF3D7_1126000,,threonine--tRNA ligase (ThrRS)
bowtie_circ_000524,Pf3D7_11_v3,198344,198448,3,+,3,40,40,"T24,T32,T44","1,1,1",1,0,1,104,PF3D7_1104400,,"conserved protein, unknown function"
bowtie_circ_000533,Pf3D7_09_v3,1437136,1437249,3,-,3,40,5,"ER,T24","2,1",0,0,1,113,PF3D7_0936300,,ring-exported protein 3 (REX3)
bowtie_circ_000566,Pf3D7_13_v3,1649979,1650132,3,-,3,40,40,"T20,T24,T28","1,1,1",0,0,1,153,PF3D7_1341900,,"vacuolar ATP synthase subunit d, putative"
bowtie_circ_000577,Pf3D7_12_v3,1228465,1228846,3,-,3,40,40,"LRET,T32","1,2",0,0,1,381,PF3D7_1229900,,"conserved Plasmodium protein, unknown function"
bowtie_circ_000585,Pf3D7_11_v3,459970,460325,3,+,3,40,40,"S3,T20,T28","1,1,1",0,0,1,355,PF3D7_1112000,,"conserved Plasmodium protein, unknown function"
bowtie_circ_000665,Pf3D7_03_v3,613028,613190,3,+,3,40,40,"LRET,T12+16,T44","1,1,1",0,0,1,162,PF3D7_0315100,,translation initiation factor 4E (eIF4E)
bowtie_circ_000677,Pf3D7_09_v3,1205301,1205463,3,+,3,40,40,"T36,T44","2,1",0,0,1,162,PF3D7_0930300,,merozoite surface protein 1 (MSP1)
bowtie_circ_000690,Pf3D7_08_v3,423795,423942,3,+,3,40,40,"T28,T32,T44","1,1,1",2,0,1,147,PF3D7_0808400,,"coatomer epsilon subunit, putative"
bowtie_circ_000714,Pf3D7_13_v3,408858,408980,3,-,3,40,5,"T20,T28,T36","1,1,1",2,0,1,122,PF3D7_1308900,,"mRNA-decapping enzyme 2, putative (DCP2)"
bowtie_circ_000729,Pf3D7_06_v3,351856,351957,3,-,3,40,40,"T12+16,T20,T32","1,1,1",2,0,1,101,PF3D7_0608500,,"proteasome subunit alpha type 2, putative"
bowtie_circ_000786,Pf3D7_10_v3,671108,671267,3,-,3,40,40,"T12+16,T24","2,1",0,0,1,159,PF3D7_1016700,,"Plasmodium exported protein (PHISTc), unknown function"
bowtie_circ_000809,Pf3D7_13_v3,1890763,1890907,3,-,3,40,40,"LRET,MTLT,T24","1,1,1",0,0,1,144,PF3D7_1347200,,nucleoside transporter 1 (NT1)
bowtie_circ_000812,Pf3D7_14_v3,985768,986446,3,-,3,40,40,"T36,T44,T48","1,1,1",0,0,1,678,PF3D7_1425300,,"conserved Plasmodium protein, unknown function"
bowtie_circ_000817,Pf3D7_05_v3,313226,313355,3,+,3,40,40,"ER,T20,T36","1,1,1",0,0,1,129,PF3D7_0507600,,"cell differentiation protein, putative (CAF40)"
bowtie_circ_000830,Pf3D7_05_v3,140436,140917,5,+,3,40,40,TT4,5,0,0,1,481,PF3D7_0503400,,actin-depolymerizing factor 1 (ADF1)
bowtie_circ_000833,Pf3D7_10_v3,1118708,1118833,3,-,3,40,40,"LRET,T48","1,2",1,0,1,125,NA,,NA
