lncRNA_ID,chromosome,start,end,strand,length,GC content (%),subtype,evidence ranking,overlapping feature,antisense feature,contains a structural RNA,contains intron,contains multiple introns,putatively essential (no piggybac insertions),overlap PlasmoDB listed lncRNAs,PlasmoDB listed name,intersect Broadbent et al. annotation,intersect Chappell et al. predicted ncRNAs,intersect Siegel et al. natural antisense transcripts,intersect Yang et al. predicted transcripts,intersect Liao et al. annotation,novel
Pf3D7lncRNA_0571,Pf3D7_06_v3,719077,719439,-,363,10.74,As-UTR,7,,UTR (PF3D7_0617200),NO,NO,NO,YES,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_0572,Pf3D7_06_v3,721900,722794,+,895,16.31,UTR-asc,1,PF3D7_0617300,UTR (PF3D7_0617400),NO,NO,NO,NO,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_0573,Pf3D7_06_v3,722405,724515,-,2111,22.55,Sense,4,PF3D7_0617400,LncRNA,NO,NO,NO,NO,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_0574,Pf3D7_06_v3,724520,725295,+,776,15.21,As-Intron,4,,PF3D7_0617400,NO,NO,NO,YES,NO,,YES,YES,NO,NO,NO,NO
Pf3D7lncRNA_0575,Pf3D7_06_v3,727635,728315,+,681,40.23,As-G,8,,PF3D7_0617400,NO,NO,NO,YES,NO,,NO,NO,YES,NO,NO,NO
Pf3D7lncRNA_0576,Pf3D7_06_v3,734915,737004,-,2090,19.9,As-G,1,,PF3D7_0617500,NO,NO,NO,NO,NO,,YES,NO,NO,NO,NO,NO
Pf3D7lncRNA_0577,Pf3D7_06_v3,745271,745990,+,720,13.06,As-UTR,1,,UTR (PF3D7_0617800),NO,NO,NO,NO,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_0578,Pf3D7_06_v3,747098,747691,+,594,17.34,As-UTR,8,,UTR (PF3D7_0617800),NO,NO,NO,NO,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_0579,Pf3D7_06_v3,749459,751747,+,2289,13.63,As-UTR,1,,UTR (PF3D7_0617800),NO,NO,NO,NO,NO,,YES,NO,NO,NO,NO,NO
Pf3D7lncRNA_0580,Pf3D7_06_v3,752128,753589,-,1462,14.02,As-UTR,1,,UTR (PF3D7_0617900),NO,NO,NO,NO,NO,,YES,NO,NO,NO,YES,NO
Pf3D7lncRNA_0581,Pf3D7_06_v3,759893,760232,-,340,20.59,As-G,8,,PF3D7_0618000,NO,NO,NO,YES,NO,,YES,NO,NO,NO,NO,NO
Pf3D7lncRNA_0582,Pf3D7_06_v3,766647,766927,+,281,13.88,As-lncRNA,9,,LncRNA,NO,NO,NO,YES,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_0583,Pf3D7_06_v3,766780,767682,-,903,14.17,As-lncRNA,4,,LncRNA,NO,NO,NO,NO,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_0584,Pf3D7_06_v3,785862,787722,-,1861,17.73,UTR-asc,1,PF3D7_0619000,PF3D7_0618900,NO,YES,YES,NO,NO,,YES,YES,YES,NO,NO,NO
Pf3D7lncRNA_0585,Pf3D7_06_v3,798397,798645,-,249,12.45,As-G,7,,PF3D7_0619100,NO,NO,NO,NO,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_0586,Pf3D7_06_v3,804623,805384,+,762,19.55,As-G,8,,PF3D7_0619300,NO,NO,NO,YES,NO,,NO,NO,NO,YES,NO,NO
Pf3D7lncRNA_0587,Pf3D7_06_v3,831356,831935,+,580,17.24,As-G,7,,PF3D7_0619800,NO,NO,NO,NO,NO,,NO,NO,NO,YES,NO,NO
Pf3D7lncRNA_0588,Pf3D7_06_v3,853707,854832,+,1126,13.59,UTR-asc,7,PF3D7_0620500,,NO,NO,NO,NO,NO,,YES,YES,NO,NO,NO,NO
Pf3D7lncRNA_0589,Pf3D7_06_v3,882325,883216,-,892,18.83,As-G,1,,PF3D7_0621500,NO,NO,NO,NO,NO,,NO,NO,YES,NO,NO,NO
Pf3D7lncRNA_0590,Pf3D7_06_v3,883782,884533,-,752,16.62,UTR-asc,8,PF3D7_0621600,PF3D7_0621700,NO,NO,NO,NO,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_0591,Pf3D7_06_v3,900278,900644,+,367,18.26,As-G,9,,PF3D7_0622100,NO,NO,NO,YES,NO,,NO,NO,YES,YES,NO,NO
Pf3D7lncRNA_0592,Pf3D7_06_v3,906676,907060,+,385,10.65,As-UTR,7,,UTR (PF3D7_0622200),NO,NO,NO,YES,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_0593,Pf3D7_06_v3,934737,935566,+,830,13.13,Intergenic,9,,,NO,NO,NO,YES,NO,,YES,NO,NO,NO,NO,NO
Pf3D7lncRNA_0594,Pf3D7_06_v3,940332,940828,+,497,22.13,As-G,6,,PF3D7_0623100,NO,NO,NO,NO,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_0595,Pf3D7_06_v3,948173,948491,+,319,23.2,As-G,8,,PF3D7_0623300,NO,NO,NO,NO,NO,,YES,NO,YES,NO,NO,NO
Pf3D7lncRNA_0596,Pf3D7_06_v3,949671,950281,+,611,13.91,As-G,7,,PF3D7_0623400,NO,NO,NO,NO,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_0597,Pf3D7_06_v3,953187,953599,+,413,23.49,As-G,9,,PF3D7_0623500,NO,NO,NO,NO,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_0598,Pf3D7_06_v3,963086,964435,+,1350,19.19,As-G,1,,PF3D7_0623800,NO,NO,NO,NO,NO,,YES,NO,NO,NO,NO,NO
Pf3D7lncRNA_0599,Pf3D7_06_v3,973296,976529,+,3234,12.46,As-UTR,7,,UTR (PF3D7_0623800),NO,UNCLEAR,NO,NO,NO,,YES,YES,NO,NO,YES,NO
Pf3D7lncRNA_0600,Pf3D7_06_v3,978241,979724,-,1484,13.81,As-UTR,1,,UTR (PF3D7_0623900),NO,NO,NO,NO,NO,,YES,NO,NO,NO,NO,NO
Pf3D7lncRNA_0601,Pf3D7_06_v3,992887,996330,-,3444,16.72,As-G,1,,PF3D7_0624500,NO,NO,NO,NO,NO,,NO,YES,NO,NO,NO,NO
Pf3D7lncRNA_0602,Pf3D7_06_v3,996631,998163,-,1533,11.81,As-UTR,1,,UTR (PF3D7_0624500),NO,NO,NO,NO,NO,,YES,NO,NO,NO,NO,NO
Pf3D7lncRNA_0603,Pf3D7_06_v3,1010061,1011506,+,1446,19.5,As-G,2,,PF3D7_0624700,NO,NO,NO,YES,NO,,NO,YES,YES,NO,NO,NO
Pf3D7lncRNA_0604,Pf3D7_06_v3,1022788,1024966,-,2179,17.35,As-G,1,,PF3D7_0625100,NO,NO,NO,NO,NO,,YES,NO,YES,NO,NO,NO
Pf3D7lncRNA_0605,Pf3D7_06_v3,1027176,1027462,+,287,21.25,As-G,9,,PF3D7_0625300,NO,NO,NO,NO,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_0606,Pf3D7_06_v3,1031736,1032143,+,408,13.97,As-UTR,7,,UTR (PF3D7_0625400),NO,NO,NO,NO,NO,,NO,NO,NO,YES,NO,NO
Pf3D7lncRNA_0607,Pf3D7_06_v3,1036628,1037045,-,418,14.83,As-UTR,7,,UTR (PF3D7_0625500),NO,NO,NO,NO,NO,,YES,YES,NO,NO,NO,NO
Pf3D7lncRNA_0608,Pf3D7_06_v3,1060385,1061590,+,1206,18.82,As-G,2,,PF3D7_0626300,NO,NO,NO,NO,NO,,YES,NO,YES,YES,NO,NO
Pf3D7lncRNA_0609,Pf3D7_06_v3,1075391,1077077,-,1687,20.39,As-G,4,,PF3D7_0626700,NO,NO,NO,NO,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_0610,Pf3D7_06_v3,1081644,1082098,-,455,15.16,As-UTR,9,,UTR (PF3D7_0626800),NO,NO,NO,NO,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_0611,Pf3D7_06_v3,1095018,1095779,+,762,17.85,As-G,1,,PF3D7_0627200,NO,NO,NO,NO,NO,,NO,YES,NO,NO,NO,NO
Pf3D7lncRNA_0612,Pf3D7_06_v3,1099378,1100628,+,1251,16.47,As-G,1,,PF3D7_0627400,NO,NO,NO,NO,NO,,NO,YES,NO,NO,NO,NO
Pf3D7lncRNA_0613,Pf3D7_06_v3,1101017,1102402,+,1386,19.34,As-G,1,,PF3D7_0627500,NO,NO,NO,NO,NO,,NO,NO,YES,NO,NO,NO
Pf3D7lncRNA_0614,Pf3D7_06_v3,1154978,1156268,+,1291,15.1,Intergenic,1,,,NO,NO,NO,NO,NO,,YES,NO,NO,NO,NO,NO
Pf3D7lncRNA_0615,Pf3D7_06_v3,1169767,1174038,+,4272,16.85,UTR-asc,1,PF3D7_0628200,PF3D7_0628300,NO,NO,NO,NO,NO,,NO,NO,YES,NO,NO,NO
Pf3D7lncRNA_0616,Pf3D7_06_v3,1180522,1181054,+,533,19.51,As-G,9,,PF3D7_0628600,NO,NO,NO,NO,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_0617,Pf3D7_06_v3,1202130,1203226,+,1097,14.31,As-UTR,1,,UTR (PF3D7_0629200),NO,NO,NO,NO,NO,,YES,NO,NO,NO,NO,NO
Pf3D7lncRNA_0618,Pf3D7_06_v3,1207318,1208541,-,1224,18.14,As-G,1,,PF3D7_0629300,NO,NO,NO,NO,NO,,YES,NO,YES,NO,NO,NO
Pf3D7lncRNA_0619,Pf3D7_06_v3,1270945,1272004,+,1060,14.53,As-UTR,7,,UTR (PF3D7_0630400),NO,NO,NO,NO,NO,,NO,NO,YES,NO,NO,NO
Pf3D7lncRNA_0620,Pf3D7_06_v3,1278191,1279256,-,1066,14.63,As-UTR,1,,UTR (PF3D7_0630500),NO,NO,NO,NO,NO,,NO,NO,NO,YES,NO,NO
Pf3D7lncRNA_0621,Pf3D7_06_v3,1283530,1283947,-,418,13.4,As-UTR,9,,UTR (PF3D7_0630600),NO,NO,NO,NO,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_0622,Pf3D7_06_v3,1298607,1299186,-,580,23.28,As-G,9,,PF3D7_0631100,NO,NO,NO,NO,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_0623,Pf3D7_06_v3,1301715,1302504,-,790,26.71,As-UTR,9,,"LncRNA, UTR (PF3D7_0631100)",NO,NO,NO,NO,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_0624,Pf3D7_06_v3,1306581,1312985,+,6405,36.03,Intergenic,1,,,NO,YES,YES,NO,NO,,YES,NO,NO,NO,NO,NO
Pf3D7lncRNA_0625,Pf3D7_06_v3,1347245,1348773,-,1529,27.27,As-G,2,,PF3D7_0632300,NO,NO,NO,NO,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_0626,Pf3D7_06_v3,1350266,1350522,-,257,10.89,As-UTR,9,,UTR (PF3D7_0632400),NO,NO,NO,NO,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_0627,Pf3D7_06_v3,1350607,1350959,-,353,12.46,As-G,5,,PF3D7_0632400,NO,NO,NO,NO,NO,,NO,YES,NO,NO,NO,NO
Pf3D7lncRNA_0628,Pf3D7_06_v3,1352543,1353212,-,670,12.69,As-lncRNA,1,,LncRNA,NO,NO,NO,NO,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_0629,Pf3D7_06_v3,1353155,1353828,+,674,9.2,As-lncRNA,1,,LncRNA,NO,NO,NO,NO,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_0630,Pf3D7_06_v3,1353468,1354325,-,858,21.45,Sense,2,PF3D7_0632500,LncRNA,NO,NO,NO,NO,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_0631,Pf3D7_06_v3,1355592,1356072,+,481,9.36,As-Intron,5,,PF3D7_0632500,NO,NO,NO,YES,NO,,NO,NO,NO,YES,NO,NO
Pf3D7lncRNA_0632,Pf3D7_06_v3,1373409,1373832,-,424,12.03,Intergenic,1,,,NO,NO,NO,NO,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_0633,Pf3D7_06_v3,1374013,1375746,+,1734,21.86,As-G,2,,PF3D7_0632800,NO,NO,NO,NO,NO,,YES,YES,NO,NO,NO,NO
Pf3D7lncRNA_0634,Pf3D7_06_v3,1374437,1378159,-,3723,25.54,Sense,4,PF3D7_0632800,LncRNA,NO,NO,NO,NO,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_0635,Pf3D7_06_v3,1376827,1377330,+,504,8.93,As-Intron,5,,PF3D7_0632800,NO,NO,NO,NO,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_0636,Pf3D7_07_v3,25816,26374,-,559,8.41,As-Intron,1,,PF3D7_0700100,NO,NO,NO,YES,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_0637,Pf3D7_07_v3,28146,28442,+,297,11.78,UTR-asc,6,PF3D7_0700100,LncRNA,NO,NO,NO,NO,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_0638,Pf3D7_07_v3,28202,28846,-,645,9.92,As-lncRNA,2,,LncRNA,NO,NO,NO,NO,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_0639,Pf3D7_07_v3,53130,54407,-,1278,17.76,As-G,2,,PF3D7_0701000,NO,NO,NO,NO,NO,,NO,YES,NO,NO,NO,NO
Pf3D7lncRNA_0640,Pf3D7_07_v3,54562,56883,+,2322,20.33,As-G,1,,PF3D7_0701100,NO,NO,NO,NO,NO,,YES,YES,YES,NO,NO,NO
Pf3D7lncRNA_0641,Pf3D7_07_v3,58320,59077,+,758,10.55,Intergenic,8,,,NO,NO,NO,NO,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_0642,Pf3D7_07_v3,86761,87640,-,880,14.09,As-lncRNA,7,,LncRNA,NO,NO,NO,NO,NO,,YES,NO,NO,NO,NO,NO
Pf3D7lncRNA_0643,Pf3D7_07_v3,86791,87495,+,705,14.75,As-lncRNA,7,,LncRNA,NO,NO,NO,YES,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_0644,Pf3D7_07_v3,94913,95261,+,349,15.19,UTR-asc,7,PF3D7_0702300,UTR (PF3D7_0702200),NO,NO,NO,NO,NO,,YES,NO,NO,YES,NO,NO
Pf3D7lncRNA_0645,Pf3D7_07_v3,101604,102268,-,665,23.46,As-G,7,,PF3D7_0702400,NO,NO,NO,NO,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_0646,Pf3D7_07_v3,109275,111309,-,2035,16.17,UTR-asc,7,PF3D7_0702700,PF3D7_0702600,NO,NO,NO,NO,NO,,YES,YES,YES,NO,NO,NO
Pf3D7lncRNA_0647,Pf3D7_07_v3,118945,119406,-,462,18.61,As-G,8,,PF3D7_0703000,NO,NO,NO,NO,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_0648,Pf3D7_07_v3,132714,133383,-,670,10.6,Intergenic,1,,,NO,NO,NO,NO,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_0649,Pf3D7_07_v3,142528,142850,-,323,8.98,As-G,8,,PF3D7_0703500,NO,NO,NO,NO,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_0650,Pf3D7_07_v3,143234,144632,-,1399,15.44,As-G,3,,PF3D7_0703600,NO,NO,NO,NO,NO,,NO,NO,YES,NO,NO,NO
Pf3D7lncRNA_0651,Pf3D7_07_v3,148315,148834,+,520,11.54,Intergenic,1,,,NO,NO,NO,YES,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_0652,Pf3D7_07_v3,178055,178486,-,432,16.44,Intergenic,7,,,NO,NO,NO,YES,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_0653,Pf3D7_07_v3,195927,197087,-,1161,14.38,As-UTR,1,,UTR (PF3D7_0704300),NO,NO,NO,NO,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_0654,Pf3D7_07_v3,202807,204116,-,1310,16.49,As-G,1,,PF3D7_0704300,NO,NO,NO,NO,NO,,NO,YES,NO,NO,NO,NO
Pf3D7lncRNA_0655,Pf3D7_07_v3,216380,216985,+,606,20.79,As-G,4,,PF3D7_0704600,NO,NO,NO,YES,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_0656,Pf3D7_07_v3,230753,231665,+,913,15.99,Intergenic,7,,,NO,NO,NO,NO,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_0657,Pf3D7_07_v3,231979,232929,-,951,12.09,As-UTR,1,,UTR (PF3D7_0704700),NO,NO,NO,NO,NO,,YES,YES,NO,NO,NO,NO
Pf3D7lncRNA_0658,Pf3D7_07_v3,245734,246440,+,707,15.42,As-G,1,,PF3D7_0705000,NO,NO,NO,NO,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_0659,Pf3D7_07_v3,254513,255074,-,562,19.04,As-G,9,,PF3D7_0705100,NO,NO,NO,NO,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_0660,Pf3D7_07_v3,259767,261147,-,1381,16.22,As-G,7,,PF3D7_0705200,NO,NO,NO,NO,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_0661,Pf3D7_07_v3,280172,280988,+,817,9.06,As-UTR,1,,"UTR (PF3D7_0705500, PF3D7_0705600)",NO,NO,NO,NO,NO,,YES,YES,NO,NO,NO,NO
Pf3D7lncRNA_0662,Pf3D7_07_v3,286409,287685,+,1277,11.9,As-G,4,,PF3D7_0705800,NO,NO,NO,NO,NO,,YES,NO,YES,NO,NO,NO
Pf3D7lncRNA_0663,Pf3D7_07_v3,307209,307542,+,334,7.19,UTR-asc,9,PF3D7_0706300,UTR (PF3D7_0706400),NO,NO,NO,NO,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_0664,Pf3D7_07_v3,309484,310082,+,599,16.03,As-G,7,,PF3D7_0706500,NO,NO,NO,NO,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_0665,Pf3D7_07_v3,316762,319522,+,2761,13.36,UTR-asc,1,PF3D7_0706600,,NO,NO,NO,NO,NO,,YES,NO,NO,NO,NO,NO
Pf3D7lncRNA_0666,Pf3D7_07_v3,324232,326364,-,2133,19.74,As-G,1,,"PF3D7_0706700, PF3D7_0706800",NO,NO,NO,NO,NO,,YES,YES,YES,NO,NO,NO
Pf3D7lncRNA_0667,Pf3D7_07_v3,327761,328757,+,997,14.84,As-lncRNA,7,,LncRNA,YES,NO,NO,NO,YES,PF3D7_0707000,NO,NO,NO,NO,NO,NO
Pf3D7lncRNA_0668,Pf3D7_07_v3,327908,328555,-,648,14.35,As-G,7,,PF3D7_0707000,NO,NO,NO,NO,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_0669,Pf3D7_07_v3,337252,337849,-,598,12.37,As-UTR,1,,UTR (PF3D7_0707300),NO,NO,NO,NO,NO,,YES,NO,NO,NO,YES,NO
Pf3D7lncRNA_0670,Pf3D7_07_v3,341110,343053,-,1944,15.95,As-G,4,,PF3D7_0707300,NO,UNCLEAR,NO,NO,NO,,NO,YES,NO,NO,NO,NO
Pf3D7lncRNA_0671,Pf3D7_07_v3,344882,346681,-,1800,19.33,As-G,1,,PF3D7_0707400,NO,NO,NO,NO,NO,,YES,NO,YES,NO,NO,NO
Pf3D7lncRNA_0672,Pf3D7_07_v3,353754,356222,-,2469,14.74,As-G,1,,PF3D7_0707600,NO,NO,NO,NO,NO,,NO,NO,YES,NO,NO,NO
Pf3D7lncRNA_0673,Pf3D7_07_v3,368101,368475,-,375,18.4,As-UTR,8,,UTR (PF3D7_0708008),NO,NO,NO,YES,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_0674,Pf3D7_07_v3,379383,380504,-,1122,12.48,As-UTR,1,,UTR (PF3D7_0708300),NO,NO,NO,NO,NO,,NO,YES,YES,NO,NO,NO
Pf3D7lncRNA_0675,Pf3D7_07_v3,393181,394357,-,1177,13.68,As-UTR,1,,UTR (PF3D7_0708800),NO,NO,NO,NO,NO,,YES,NO,NO,NO,NO,NO
Pf3D7lncRNA_0676,Pf3D7_07_v3,406473,407605,-,1133,13.77,As-UTR,4,,"UTR (PF3D7_0709000, PF3D7_0709100)",NO,NO,NO,NO,YES,PF3D7_0709050,NO,NO,YES,NO,NO,NO
Pf3D7lncRNA_0677,Pf3D7_07_v3,422717,423350,+,634,11.67,As-G,7,,PF3D7_0709400,NO,NO,NO,YES,NO,,NO,NO,NO,YES,NO,NO
Pf3D7lncRNA_0678,Pf3D7_07_v3,447188,447617,+,430,16.28,As-G,8,,PF3D7_0710000,NO,YES,NO,NO,NO,,NO,NO,NO,YES,NO,NO
Pf3D7lncRNA_0679,Pf3D7_07_v3,461109,461948,-,840,16.43,As-G,8,,PF3D7_0710100,NO,NO,NO,NO,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_0680,Pf3D7_07_v3,480383,481458,+,1076,16.26,As-G,7,,PF3D7_0710700,NO,NO,NO,NO,NO,,NO,NO,NO,YES,NO,NO
Pf3D7lncRNA_0681,Pf3D7_07_v3,482707,483316,+,610,21.15,As-G,8,,PF3D7_0710800,NO,NO,NO,YES,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_0682,Pf3D7_07_v3,491602,492627,+,1026,13.94,As-G,7,,PF3D7_0711100,NO,YES,NO,NO,NO,,NO,NO,YES,YES,NO,NO
Pf3D7lncRNA_0683,Pf3D7_07_v3,503268,503676,+,409,16.38,As-UTR,7,,UTR (PF3D7_0711400),NO,NO,NO,YES,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_0684,Pf3D7_07_v3,511023,511670,-,648,13.73,Intergenic,9,,,NO,NO,NO,YES,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_0685,Pf3D7_07_v3,513687,513959,+,273,6.59,As-Intron,7,,PF3D7_0711700,NO,NO,NO,YES,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_0686,Pf3D7_07_v3,529102,529632,+,531,7.91,As-Intron,2,,PF3D7_0712000,NO,NO,NO,NO,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_0687,Pf3D7_07_v3,529899,530526,+,628,32.96,As-G,8,,PF3D7_0712000,NO,NO,NO,YES,NO,,NO,NO,YES,NO,NO,NO
Pf3D7lncRNA_0688,Pf3D7_07_v3,544577,545081,+,505,8.32,As-Intron,4,,PF3D7_0712300,NO,NO,NO,YES,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_0689,Pf3D7_07_v3,551685,553854,-,2170,22.03,Sense,7,PF3D7_0712400,LncRNA,NO,NO,NO,NO,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_0690,Pf3D7_07_v3,553783,553971,+,189,4.76,As-Intron,7,,PF3D7_0712400,NO,NO,NO,NO,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_0691,Pf3D7_07_v3,568359,568951,+,593,12.65,As-Intron,4,,PF3D7_0712600,NO,NO,NO,NO,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_0692,Pf3D7_07_v3,583033,583655,+,623,12.52,As-Intron,6,,PF3D7_0712800,NO,NO,NO,YES,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_0693,Pf3D7_07_v3,591554,591805,-,252,9.92,Sense,7,PF3D7_0712900,,NO,NO,NO,YES,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_0694,Pf3D7_07_v3,591875,592291,+,417,8.39,As-Intron,4,,PF3D7_0712900,NO,NO,NO,YES,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_0695,Pf3D7_07_v3,610037,610896,-,860,22.79,As-G,9,,PF3D7_0713300,NO,NO,NO,NO,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_0696,Pf3D7_07_v3,611247,611807,-,561,10.52,Intergenic,4,,,NO,NO,NO,NO,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_0697,Pf3D7_07_v3,625618,627841,+,2224,15.83,As-G,4,,"UTR (PF3D7_0713800), PF3D7_0713900",NO,NO,NO,YES,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_0698,Pf3D7_07_v3,639676,640130,+,455,12.09,As-UTR,7,,UTR (PF3D7_0713900),NO,NO,NO,YES,NO,,NO,NO,NO,YES,NO,NO
Pf3D7lncRNA_0699,Pf3D7_07_v3,644672,646083,+,1412,14.59,As-UTR,7,,UTR (PF3D7_0714000),NO,NO,NO,NO,NO,,YES,NO,NO,NO,NO,NO
Pf3D7lncRNA_0700,Pf3D7_07_v3,649457,649908,-,452,12.39,Intergenic,7,,,NO,NO,NO,YES,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_0701,Pf3D7_07_v3,665283,666725,-,1443,18.92,As-G,7,,PF3D7_0714500,NO,NO,NO,NO,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_0702,Pf3D7_07_v3,668982,670018,-,1037,16.39,As-G,7,,PF3D7_0714600,NO,NO,NO,NO,NO,,NO,YES,NO,NO,NO,NO
Pf3D7lncRNA_0703,Pf3D7_07_v3,670321,670591,-,271,7.75,As-UTR,7,,UTR (PF3D7_0714600),NO,NO,NO,NO,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_0704,Pf3D7_07_v3,687123,687757,+,635,13.86,As-UTR,4,,"UTR (PF3D7_0715300, PF3D7_0715400)",NO,NO,NO,NO,NO,,NO,NO,NO,YES,NO,NO
Pf3D7lncRNA_0705,Pf3D7_07_v3,714916,715934,-,1019,14.33,As-G,4,,PF3D7_0716200,NO,NO,NO,NO,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_0706,Pf3D7_07_v3,721762,723514,-,1753,20.08,As-G,9,,PF3D7_0716500,NO,NO,NO,YES,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_0707,Pf3D7_07_v3,726197,727587,-,1391,19.12,As-G,4,,PF3D7_0716600,NO,NO,NO,NO,NO,,NO,YES,YES,NO,NO,NO
Pf3D7lncRNA_0708,Pf3D7_07_v3,735147,740745,-,5599,17.79,As-G,8,,PF3D7_0716900,NO,UNCLEAR,NO,NO,NO,,YES,YES,YES,NO,NO,NO
Pf3D7lncRNA_0709,Pf3D7_07_v3,750948,751185,-,238,11.76,As-UTR,7,,"UTR (PF3D7_0717300, PF3D7_0717400)",NO,NO,NO,NO,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_0710,Pf3D7_07_v3,754075,754673,-,599,16.03,As-G,7,,PF3D7_0717400,NO,YES,NO,NO,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_0711,Pf3D7_07_v3,763412,764193,+,782,17.39,As-UTR,4,,UTR (PF3D7_0717700),NO,NO,NO,NO,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_0712,Pf3D7_07_v3,764557,765139,+,583,21.78,As-G,8,,PF3D7_0717700,NO,NO,NO,NO,NO,,NO,NO,NO,NO,NO,YES
Pf3D7lncRNA_0713,Pf3D7_07_v3,766611,767659,+,1049,15.63,As-G,8,,"UTR (PF3D7_0717700), PF3D7_0717800",NO,NO,NO,NO,NO,,YES,NO,NO,NO,NO,NO
Pf3D7lncRNA_0714,Pf3D7_07_v3,775866,777358,+,1493,17.21,As-G,7,,PF3D7_0718000,NO,NO,NO,YES,NO,,YES,YES,NO,NO,NO,NO
