Gene ID,Transcript ID,Chromosome,Start,Stop,Strand,Length,Exon count,Exon lengths,Relative Exon starts,GC content,Coding potential,Mean expression ,Max expression ,Max expression time-point ,Log2 fold change ,Significant Differential GENE Expression,Max JS Specificity score ,More correlated neighbor                 ,More correlated neighbor            description       ,Correlation with more correlated neighbor                ,Orientation with respect to more correlated neighbor             ,Distance from more correlated neighbor              ,Less correlated neighbor     ,Less correlated neighbor description       ,Correlation with less correlated neighbor ,Distance from less correlated neighbor,FPKM T20,FPKM T24,FPKM T28,FPKM T32,FPKM T36,FPKM T40,FPKM T44,FPKM T48,FPKM TT8,FPKM R,FPKM ET,FPKM LT,FPKM S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XLOC_001384,TCONS_00001942,Pf3D7_05_v3,431651,432044,-,393,1,"393,","0,",0.13,,49.17,139.19,T44,4.69,YES,0.16,PF3D7_0510100,"conserved Plasmodium protein, unknown function",0.96,tandem,1298,NA,NA,NA,NA,4.43,9.01,55.05,59.63,70.45,98.56,139.19,29.86,32.16,5.60,5.62,19.63,38.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XLOC_001385,TCONS_00001943,Pf3D7_05_v3,432105,433591,-,1486,1,"1486,","0,",0.12,,38.93,103.48,T48,5.65,YES,0.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.07,5.31,31.64,45.41,51.35,65.53,82.67,103.48,12.29,8.20,25.90,84.57,128.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XLOC_001386,TCONS_00001944,Pf3D7_05_v3,433681,434062,-,381,1,"381,","0,",0.11,,33.89,103.46,T44,5.28,YES,0.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.10,2.37,67.23,25.97,42.39,64.36,103.46,19.63,9.91,1.25,3.77,10.45,28.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XLOC_001187,TCONS_00001642,Pf3D7_05_v3,434992,436418,+,1426,1,"1426,","0,",0.13,,7.41,16.77,T44,3.31,YES,0.17,NA,NA,NA,NA,NA,PF3D7_0510200,peptidyl-prolyl cis-trans isomerase (CYP87),0.026328189,1076,1.25,2.02,5.96,12.08,9.90,13.69,16.77,12.69,2.53,1.71,2.31,7.40,11.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XLOC_001395,TCONS_00001956,Pf3D7_05_v3,523788,524130,-,342,1,"342,","0,",0.15,,36.86,209.11,T20,7.71,,0.24,PF3D7_0511900,"conserved Plasmodium protein, unknown function",0.92,divergent,895,PF3D7_0511800,"myo-inositol 1-phosphate synthase, putative",0.392930477,1095,209.11,98.96,37.32,5.49,6.27,0.94,2.39,0.00,1.79,60.53,7.61,2.52,2.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XLOC_001200,TCONS_00001664,Pf3D7_05_v3,532605,533170,+,565,1,"565,","0,",0.14,,6.23,17.64,T32,4.22,YES,0.18,PF3D7_0512200,glutathione synthetase (GS),0.73,divergent,704,PF3D7_0512300,CDK-activating kinase assembly factor (MAT1),0.600796732,385,10.87,8.79,9.72,17.64,4.84,5.25,1.64,0.00,2.46,2.89,1.44,5.03,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XLOC_001407,TCONS_00001975,Pf3D7_05_v3,595760,596383,-,623,1,"623,","0,",0.12,,14.81,34.81,T44,3.93,,0.16,PF3D7_0514100,ATP-dependent DNA helicase UvrD (UvrD),0.83,tandem,97,PF3D7_0514200,"conserved Plasmodium protein, unknown function",0.313909046,434,2.67,1.35,17.01,15.53,28.44,27.96,34.81,8.46,5.64,2.06,0.00,0.00,0.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XLOC_001220,TCONS_00001690,Pf3D7_05_v3,656850,658186,+,1336,1,"1336,","0,",0.18,,6.27,16.90,T48,3.79,,0.19,PF3D7_0515700,"glideosome-associated protein 40, putative (GAP40)",0.94,divergent,1514,NA,NA,NA,NA,1.03,0.30,0.30,2.89,4.51,14.29,15.58,16.90,5.05,1.57,0.66,2.56,37.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XLOC_001224,TCONS_00001697,Pf3D7_05_v3,693636,693953,+,317,1,"317,","0,",0.10,,15.65,62.42,T20,4.18,,0.19,PF3D7_0516600,"translation initiation factor IF-2,sporozoite surface antigen MB2 (MB2)",-0.05,divergent,1994,PF3D7_0516700,"ubiquitin carboxyl-terminal hydrolase 2, putative",-0.186343786,538,62.42,21.74,37.09,4.69,3.66,2.51,3.41,3.98,7.03,6.32,0.00,3.72,5.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XLOC_001424,TCONS_00001998,Pf3D7_05_v3,707717,708248,-,531,1,"531,","0,",0.12,,8.26,25.76,T36,3.75,,0.19,PF3D7_0516800,transcription factor with AP2 domain(s) (ApiAP2),0.93,tandem,461,NA,NA,NA,NA,0.99,2.46,1.95,4.43,25.76,22.70,14.74,3.87,3.43,1.47,1.49,6.44,14.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XLOC_001425,TCONS_00001999,Pf3D7_05_v3,708648,710560,-,1912,1,"1912,","0,",0.14,,19.88,54.26,T36,4.72,YES,0.18,NA,NA,NA,NA,NA,PF3D7_0516900,"60S ribosomal protein L8, putative",-0.807073732,2201,1.43,1.10,2.40,11.46,54.26,48.70,40.30,26.56,7.12,1.63,0.74,14.11,33.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XLOC_001431,TCONS_00002005,Pf3D7_05_v3,726433,727316,-,883,1,"883,","0,",0.09,,30.43,90.90,T20,4.57,YES,0.16,PF3D7_0517300,pre-mRNA-splicing factor (SR1),0.68,tandem,682,NA,NA,NA,NA,90.90,24.65,60.82,10.64,8.43,2.88,10.54,11.83,49.54,31.23,4.61,5.43,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XLOC_001227,TCONS_00001700,Pf3D7_05_v3,728249,729239,+,990,1,"990,","0,",0.13,,12.77,44.17,TT8,3.05,YES,0.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.11,6.57,9.58,7.99,4.44,4.52,5.87,5.19,44.17,10.65,5.71,8.36,3.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XLOC_001228,TCONS_00001701,Pf3D7_05_v3,730835,731213,+,378,1,"378,","0,",0.12,,12.52,50.76,T28,4.24,,0.18,PF3D7_0517400,"FACT complex subunit SPT16, putative (FACT-L)",0.50,tandem,193,NA,NA,NA,NA,8.79,13.27,50.76,11.80,15.67,15.22,8.50,2.39,3.00,6.70,1.36,3.44,3.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XLOC_001238,TCONS_00001712,Pf3D7_05_v3,794078,794949,+,871,1,"871,","0,",0.17,,7.20,12.57,T28,1.55,,0.15,PF3D7_0519200,vacuolar ATP synthetase,-0.21,divergent,1142,PF3D7_0519300,"cytochrome c oxidase assembly protein (heme A: farnesyltransferase), putative",-0.232790965,577,11.83,10.91,12.57,7.80,3.62,5.90,7.28,5.26,4.32,11.15,5.64,9.04,6.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XLOC_001240,TCONS_00001714,Pf3D7_05_v3,799794,800549,+,755,1,"755,","0,",0.14,,5.16,16.75,T20,2.88,,0.19,PF3D7_0519400,"40S ribosomal protein S24, putative",0.85,divergent,1019,PF3D7_0519500,"carbon catabolite repressor protein 4, putative (CCR4)",-0.075312716,900,16.75,3.61,3.78,5.67,1.76,2.19,1.42,1.63,7.12,4.19,3.20,3.47,3.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XLOC_001241,TCONS_00001715,Pf3D7_05_v3,810367,811482,+,1115,1,"1115,","0,",0.16,,4.26,8.37,T24,1.79,,0.16,PF3D7_0519500,"carbon catabolite repressor protein 4, putative (CCR4)",0.91,divergent,1240,PF3D7_0519600,"zinc finger protein, putative",0.550941659,1165,5.53,8.37,7.44,7.61,3.83,3.33,2.49,2.29,2.16,6.21,14.89,22.67,8.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XLOC_001461,TCONS_00002049,Pf3D7_05_v3,953816,955806,-,1990,1,"1990,","0,",0.12,,10.11,41.25,TT8,4.72,YES,0.19,PF3D7_0523000,multidrug resistance protein (MDR1),0.85,divergent,2083,PF3D7_0522900,"zinc finger protein, putative",0.27029488,207,14.61,6.68,11.90,7.47,1.60,0.61,3.48,4.09,41.25,7.29,2.59,5.83,1.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XLOC_001267,TCONS_00001751,Pf3D7_05_v3,988481,989717,+,1236,1,"1236,","0,",0.13,,20.67,55.19,TT8,3.14,YES,0.16,PF3D7_0523800,"transporter, putative",0.95,tandem,287,PF3D7_0523700,"conserved Plasmodium membrane protein, unknown function",-0.72922458,3127,27.40,16.92,9.76,5.36,10.77,14.17,15.84,10.00,55.19,56.95,14.22,17.76,23.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XLOC_001467,TCONS_00002058,Pf3D7_05_v3,995964,997307,-,1343,1,"1343,","0,",0.11,,16.94,61.01,TT8,4.21,YES,0.18,PF3D7_0524000,karyopherin beta (KASbeta),0.84,divergent,1445,PF3D7_0523900,"conserved Plasmodium membrane protein, unknown function",0.707999713,1357,27.64,17.55,11.08,10.94,6.67,5.48,5.56,2.35,61.01,15.68,2.42,2.39,1.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XLOC_001472,TCONS_00002070,Pf3D7_05_v3,1025371,1026463,-,1092,1,"1092,","0,",0.16,,4.75,14.03,T20,3.91,YES,0.20,PF3D7_0524900,"tRNA-YW synthesizing protein, putative",0.83,divergent,932,PF3D7_0524800,"ubiquitin fusion degradation protein UFD1, putative",0.321869982,1064,14.03,5.09,2.87,3.85,1.01,0.68,0.91,0.00,9.38,8.09,7.53,6.37,0.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XLOC_001473,TCONS_00002071,Pf3D7_05_v3,1030479,1031487,-,1008,1,"1008,","0,",0.15,,4.05,14.35,T24,3.94,YES,0.22,NA,NA,NA,NA,NA,PF3D7_0524900,"tRNA-YW synthesizing protein, putative",0.69643564,117,8.16,14.35,9.92,4.54,1.21,0.00,1.28,1.43,1.78,5.70,5.72,4.40,0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XLOC_001273,TCONS_00001760,Pf3D7_05_v3,1033013,1034032,+,1019,1,"1019,","0,",0.13,,45.64,163.21,T24,5.45,YES,0.18,PF3D7_0525000,"zinc finger protein, putative",0.97,tandem,2196,NA,NA,NA,NA,94.41,163.21,158.89,22.91,6.78,2.74,4.86,9.79,12.87,41.21,85.65,20.38,2.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XLOC_001474,TCONS_00002072,Pf3D7_05_v3,1039428,1040658,-,1230,1,"1230,","0,",0.14,,6.91,24.51,TT8,3.31,,0.19,PF3D7_0525100,acyl-CoA synthetase (ACS10),0.85,divergent,1086,PF3D7_0525000,"zinc finger protein, putative",-0.383981729,1085,4.48,1.76,2.77,1.90,1.87,1.57,13.54,7.70,24.51,2.71,0.00,1.42,2.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XLOC_001277,TCONS_00001765,Pf3D7_05_v3,1056155,1057245,+,1090,1,"1090,","0,",0.16,,23.24,79.07,T6,5.30,YES,0.20,PF3D7_0525300,"conserved Plasmodium protein, unknown function",0.97,divergent,2242,PF3D7_0525400,"G-protein coupled receptor, putative",0.759370894,405,1.04,1.46,1.24,2.05,2.74,7.73,76.22,22.96,58.51,6.94,0.63,1.91,16.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XLOC_001479,TCONS_00002080,Pf3D7_05_v3,1078614,1079031,-,417,1,"417,","0,",0.15,,13.02,30.56,T32,4.07,,0.17,PF3D7_0526000,"RAP protein, putative",0.87,tandem,281,PF3D7_0526100,"conserved Plasmodium membrane protein, unknown function",0.59475412,747,5.21,20.90,23.29,30.56,18.85,13.24,12.47,14.71,1.99,2.61,23.24,13.65,6.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XLOC_001283,TCONS_00001774,Pf3D7_05_v3,1084859,1085566,+,707,1,"707,","0,",0.12,,8.64,21.46,T40,3.67,,0.17,PF3D7_0526200.1,"ADP-ribosylation factor GTPase-activating protein, putative",0.85,divergent,1043,PF3D7_0526300,"nucleolar Jumonji domain interacting protein, putative",-0.713454804,56,1.18,1.96,4.35,14.89,9.21,21.46,15.88,6.64,10.70,2.34,1.66,7.67,31.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XLOC_001286,TCONS_00001778,Pf3D7_05_v3,1098767,1100157,+,1390,1,"1390,","0,",0.15,,7.72,15.10,T28,2.41,YES,0.15,PF3D7_0526600,"conserved Plasmodium protein, unknown function",0.76,tandem,1045,PF3D7_0526500,"conserved Plasmodium protein, unknown function",-0.634605104,3683,2.70,2.03,15.10,12.42,11.87,10.20,6.04,3.85,5.48,2.96,3.55,9.37,3.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XLOC_001289,TCONS_00001783,Pf3D7_05_v3,1131926,1132634,+,708,1,"708,","0,",0.17,,7.39,12.15,T32,1.85,,0.14,PF3D7_0527100,"ubiquitin-conjugating enzyme E2 N, putative (UBC13)",0.53,divergent,1172,PF3D7_0527200,"ubiquitin carboxyl-terminal hydrolase, putative",0.135876166,302,8.11,2.64,5.20,12.15,7.86,10.51,11.19,8.09,6.49,6.67,11.26,23.24,24.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XLOC_001488,TCONS_00002095,Pf3D7_05_v3,1141676,1142946,-,1270,1,"1270,","0,",0.14,,4.95,11.87,T20,3.00,,0.17,PF3D7_0527500,Hsc70-interacting protein (HIP),0.67,divergent,671,PF3D7_0527400,"conserved Plasmodium protein, unknown function",0.409724097,522,11.87,4.39,6.99,8.62,4.52,2.42,3.11,0.61,3.84,6.21,1.39,4.00,1.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XLOC_001511,TCONS_00002132,Pf3D7_05_v3,1298729,1299974,-,1245,1,"1245,","0,",0.13,,18.09,48.42,TT8,3.83,,0.16,PF3D7_0532100,early transcribed membrane protein 5 (ETRAMP5),0.76,divergent,1249,NA,NA,NA,NA,36.36,17.82,15.49,12.39,5.05,4.96,9.87,2.48,48.42,32.55,3.44,7.17,5.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XLOC_001513,TCONS_00002134,Pf3D7_05_v3,1305224,1306220,-,996,1,"996,","0,",0.13,,12.03,67.02,T20,5.30,YES,0.23,PF3D7_0532300,"Plasmodium exported protein (PHISTb), unknown function",0.95,divergent,2057,PF3D7_0532200,"Plasmodium exported protein (PHISTc), unknown function",0.689897499,698,67.02,24.30,7.26,2.78,1.64,1.70,1.58,0.73,3.86,19.96,3.47,2.17,1.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XLOC_001514,TCONS_00002135,Pf3D7_05_v3,1310330,1311446,-,1116,1,"1116,","0,",0.13,,6.20,37.18,T20,5.25,YES,0.28,PF3D7_0532300,"Plasmodium exported protein (PHISTb), unknown function",0.92,convergent,390,PF3D7_0532400,"Plasmodium exported protein (PHISTb), unknown function",0.905856105,1024,37.18,16.50,4.29,3.02,1.01,0.70,0.32,0.00,0.45,7.18,1.62,1.40,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XLOC_001318,TCONS_00001837,Pf3D7_05_v3,1320257,1321417,+,1160,1,"1160,","0,",0.14,,8.26,30.30,T28,4.97,YES,0.25,PF3D7_0532600,"Plasmodium exported protein, unknown function",0.95,divergent,1028,PF3D7_0532700,"erythrocyte membrane protein 1 (PfEMP1), pseudogene (VAR)",-0.449789688,982,20.11,26.68,30.30,10.37,1.40,0.78,0.51,0.00,0.74,4.89,10.61,3.81,0.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XLOC_001719,TCONS_00002442,Pf3D7_06_v3,56071,63459,-,7388,1,"7388,","0,",0.42,,2.46,5.99,T6,2.16,YES,0.18,PF3D7_0601500,"Plasmodium exported protein (PHISTb), unknown function",-0.67,tandem,2328,PF3D7_0601400,"erythrocyte membrane protein 1 (PfEMP1), pseudogene (VAR)",-0.855626051,3173,0.57,0.57,1.33,2.19,3.13,2.15,2.79,4.19,3.06,2.56,3.52,23.79,11.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XLOC_001723,TCONS_00002446,Pf3D7_06_v3,75020,76422,-,1402,1,"1402,","0,",0.12,,6.31,38.99,T20,5.32,,0.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.99,11.40,3.73,1.94,0.37,0.86,0.24,0.00,5.24,10.75,3.97,1.06,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XLOC_001524,TCONS_00002146,Pf3D7_06_v3,76184,77394,+,1210,1,"1210,","0,",0.13,,11.66,29.58,T20,3.45,YES,0.16,NA,NA,NA,NA,NA,PF3D7_0601900,"conserved Plasmodium protein, unknown function",0.737699658,795,29.58,21.02,10.06,5.58,6.97,6.35,9.43,1.79,17.86,25.00,4.78,6.20,4.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XLOC_001729,TCONS_00002453,Pf3D7_06_v3,121185,121541,-,356,1,"356,","0,",0.13,,21.41,84.70,T44,5.57,,0.19,PF3D7_0602900,"conserved Plasmodium protein, unknown function",0.74,tandem,982,NA,NA,NA,NA,5.43,0.80,2.12,4.32,2.11,31.18,84.70,25.50,35.35,1.26,0.00,0.00,12.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
